date,equity,return,gross_exposure,net_exposure,zscore
2012-01-03,100000.0,,0.0,0.0,
2012-01-04,100000.0,0.0,0.0,0.0,
2012-01-05,100000.0,0.0,0.0,0.0,
2012-01-06,100000.0,0.0,0.0,0.0,
2012-01-09,100000.0,0.0,0.0,0.0,
2012-01-10,100000.0,0.0,0.0,0.0,
2012-01-11,100000.0,0.0,0.0,0.0,
2012-01-12,100000.0,0.0,0.0,0.0,
2012-01-13,100000.0,0.0,0.0,0.0,
2012-01-17,100000.0,0.0,0.0,0.0,
2012-01-18,100000.0,0.0,0.0,0.0,
2012-01-19,100000.0,0.0,0.0,0.0,
2012-01-20,100000.0,0.0,0.0,0.0,
2012-01-23,100000.0,0.0,0.0,0.0,
2012-01-24,100000.0,0.0,0.0,0.0,
2012-01-25,100000.0,0.0,0.0,0.0,
2012-01-26,100000.0,0.0,0.0,0.0,
2012-01-27,100000.0,0.0,0.0,0.0,
2012-01-30,100000.0,0.0,0.0,0.0,
2012-01-31,100000.0,0.0,0.0,0.0,
2012-02-01,100000.0,0.0,0.0,0.0,
2012-02-02,100000.0,0.0,0.0,0.0,
2012-02-03,100000.0,0.0,0.0,0.0,
2012-02-06,100000.0,0.0,0.0,0.0,
2012-02-07,100000.0,0.0,0.0,0.0,
2012-02-08,100000.0,0.0,0.0,0.0,
2012-02-09,100000.0,0.0,0.0,0.0,
2012-02-10,100000.0,0.0,0.0,0.0,
2012-02-13,100000.0,0.0,0.0,0.0,
2012-02-14,100000.0,0.0,0.0,0.0,
2012-02-15,100000.0,0.0,0.0,0.0,
2012-02-16,100000.0,0.0,0.0,0.0,
2012-02-17,100000.0,0.0,0.0,0.0,
2012-02-21,100000.0,0.0,0.0,0.0,
2012-02-22,100000.0,0.0,0.0,0.0,
2012-02-23,100000.0,0.0,0.0,0.0,
2012-02-24,100000.0,0.0,0.0,0.0,
2012-02-27,100000.0,0.0,0.0,0.0,
2012-02-28,100000.0,0.0,0.0,0.0,
2012-02-29,100000.0,0.0,0.0,0.0,
2012-03-01,100000.0,0.0,0.0,0.0,
2012-03-02,100000.0,0.0,0.0,0.0,
2012-03-05,100000.0,0.0,0.0,0.0,
2012-03-06,100000.0,0.0,0.0,0.0,
2012-03-07,100000.0,0.0,0.0,0.0,
2012-03-08,100000.0,0.0,0.0,0.0,
2012-03-09,100000.0,0.0,0.0,0.0,
2012-03-12,100000.0,0.0,0.0,0.0,
2012-03-13,100000.0,0.0,0.0,0.0,
2012-03-14,100000.0,0.0,0.0,0.0,
2012-03-15,100000.0,0.0,0.0,0.0,
2012-03-16,100000.0,0.0,0.0,0.0,
2012-03-19,100000.0,0.0,0.0,0.0,
2012-03-20,100000.0,0.0,0.0,0.0,
2012-03-21,100000.0,0.0,0.0,0.0,
2012-03-22,100000.0,0.0,0.0,0.0,
2012-03-23,100000.0,0.0,0.0,0.0,
2012-03-26,100000.0,0.0,0.0,0.0,
2012-03-27,100000.0,0.0,0.0,0.0,
2012-03-28,100000.0,0.0,0.0,0.0,
2012-03-29,100000.0,0.0,0.0,0.0,
2012-03-30,100000.0,0.0,0.0,0.0,
2012-04-02,100000.0,0.0,0.0,0.0,
2012-04-03,100000.0,0.0,0.0,0.0,
2012-04-04,100000.0,0.0,0.0,0.0,
2012-04-05,100000.0,0.0,0.0,0.0,
2012-04-09,100000.0,0.0,0.0,0.0,
2012-04-10,100000.0,0.0,0.0,0.0,
2012-04-11,100000.0,0.0,0.0,0.0,
2012-04-12,100000.0,0.0,0.0,0.0,
2012-04-13,100000.0,0.0,0.0,0.0,
2012-04-16,100000.0,0.0,0.0,0.0,
2012-04-17,100000.0,0.0,0.0,0.0,
2012-04-18,100000.0,0.0,0.0,0.0,
2012-04-19,100000.0,0.0,0.0,0.0,
2012-04-20,100000.0,0.0,0.0,0.0,
2012-04-23,100000.0,0.0,0.0,0.0,
2012-04-24,100000.0,0.0,0.0,0.0,
2012-04-25,100000.0,0.0,0.0,0.0,
2012-04-26,100000.0,0.0,0.0,0.0,
2012-04-27,100000.0,0.0,0.0,0.0,
2012-04-30,100000.0,0.0,0.0,0.0,
2012-05-01,100000.0,0.0,0.0,0.0,
2012-05-02,100000.0,0.0,0.0,0.0,
2012-05-03,100000.0,0.0,0.0,0.0,
2012-05-04,100000.0,0.0,0.0,0.0,
2012-05-07,100000.0,0.0,0.0,0.0,
2012-05-08,100000.0,0.0,0.0,0.0,
2012-05-09,100000.0,0.0,0.0,0.0,
2012-05-10,100000.0,0.0,0.0,0.0,
2012-05-11,100000.0,0.0,0.0,0.0,
2012-05-14,100000.0,0.0,0.0,0.0,
2012-05-15,100000.0,0.0,0.0,0.0,
2012-05-16,100000.0,0.0,0.0,0.0,
2012-05-17,100000.0,0.0,0.0,0.0,
2012-05-18,100000.0,0.0,0.0,0.0,
2012-05-21,100000.0,0.0,0.0,0.0,
2012-05-22,100000.0,0.0,0.0,0.0,
2012-05-23,100000.0,0.0,0.0,0.0,
2012-05-24,100000.0,0.0,0.0,0.0,
2012-05-25,100000.0,0.0,0.0,0.0,
2012-05-29,100000.0,0.0,0.0,0.0,
2012-05-30,100000.0,0.0,0.0,0.0,
2012-05-31,100000.0,0.0,0.0,0.0,
2012-06-01,100000.0,0.0,0.0,0.0,
2012-06-04,100000.0,0.0,0.0,0.0,
2012-06-05,100000.0,0.0,0.0,0.0,
2012-06-06,100000.0,0.0,0.0,0.0,
2012-06-07,100000.0,0.0,0.0,0.0,
2012-06-08,100000.0,0.0,0.0,0.0,
2012-06-11,100000.0,0.0,0.0,0.0,
2012-06-12,100000.0,0.0,0.0,0.0,
2012-06-13,100000.0,0.0,0.0,0.0,
2012-06-14,100000.0,0.0,0.0,0.0,
2012-06-15,100000.0,0.0,0.0,0.0,
2012-06-18,100000.0,0.0,0.0,0.0,
2012-06-19,100000.0,0.0,0.0,0.0,
2012-06-20,100000.0,0.0,0.0,0.0,
2012-06-21,100000.0,0.0,0.0,0.0,
2012-06-22,100000.0,0.0,0.0,0.0,
2012-06-25,100000.0,0.0,0.0,0.0,
2012-06-26,100000.0,0.0,0.0,0.0,
2012-06-27,100000.0,0.0,0.0,0.0,
2012-06-28,100000.0,0.0,0.0,0.0,
2012-06-29,100000.0,0.0,0.0,0.0,
2012-07-02,100000.0,0.0,0.0,0.0,
2012-07-03,100000.0,0.0,0.0,0.0,0.46665613817369506
2012-07-05,100000.0,0.0,0.0,0.0,0.48018807055020096
2012-07-06,100000.0,0.0,0.0,0.0,0.5128622084105551
2012-07-09,100000.0,0.0,0.0,0.0,0.49458289844399095
2012-07-10,100000.0,0.0,0.0,0.0,0.27046218359449953
2012-07-11,100000.0,0.0,0.0,0.0,0.5391261766873954
2012-07-12,100000.0,0.0,0.0,0.0,0.19222942308286958
2012-07-13,100000.0,0.0,0.0,0.0,0.6199576939231096
2012-07-16,100000.0,0.0,0.0,0.0,0.6965520364672235
2012-07-17,100000.0,0.0,0.0,0.0,1.146067830416691
2012-07-18,100000.0,0.0,0.0,0.0,1.312317176036014
2012-07-19,100000.0,0.0,0.0,0.0,1.7155109112581706
2012-07-20,100000.0,0.0,0.0,0.0,1.4498908215508677
2012-07-23,100000.0,0.0,0.0,0.0,0.9657298783385514
2012-07-24,100000.0,0.0,0.0,0.0,0.9964032176259207
2012-07-25,100000.0,0.0,0.0,0.0,1.3299350346919678
2012-07-26,100000.0,0.0,0.0,0.0,1.6203517130610603
2012-07-27,100000.0,0.0,0.0,0.0,2.249469483480472
2012-07-30,99950.0,-0.0004999999999999449,1.0005002501250626,-0.24639779970566847,2.159595693152276
2012-07-31,99536.43182599332,-0.004137750615374469,0.9999747794706851,-0.25156408976795075,2.2987538224671953
2012-08-01,99526.40894800183,-0.00010069557254188677,0.9967472339960041,-0.251677712111599,2.1958257062862283
2012-08-02,99276.99308503597,-0.00250602694905,0.9940450448744057,-0.2548099144049167,2.2149221125164877
2012-08-03,98774.96916555689,-0.005056800209984891,1.0185107450308115,-0.2611750351533882,2.3272818048329658
2012-08-06,98858.72228743785,0.0008479184816609919,1.0185077472652897,-0.2600938829659552,2.1655720737215884
2012-08-07,99268.81024106333,0.0041482222725186535,1.0238578053407765,-0.254875695118241,1.870350056219033
2012-08-08,98710.10841412233,-0.005628170878488992,1.03271678266997,-0.2619655671245685,2.0300775597860743
2012-08-09,99047.39682688593,0.003416959196808511,1.0320754399387535,-0.25765536598442185,1.7934769634602075
2012-08-10,99243.0149272424,0.0019749948673397633,1.0314836087298112,-0.25516362931039077,1.6337916998524422
2012-08-13,99630.15002186573,0.003900880025734299,1.0178889351553206,-0.2502736972605261,1.409022795863463
2012-08-14,99906.4006324944,0.0027727611628411974,1.0157001328041395,-0.2468040264996776,1.2451229823116272
2012-08-15,100278.90440502565,0.003728527603566567,1.0124385486460403,-0.24216007353460509,1.0477094669136258
2012-08-16,99943.45477525904,-0.003345166480995143,1.0302377363449957,-0.24631676418395296,1.155373284011816
2012-08-17,100215.29199553437,0.002719910182078511,1.0264144380236202,-0.2429234597789999,1.0077103073102887
2012-08-20,99828.06039536715,-0.0038639971251540617,1.0356815631732337,-0.24773210038999416,1.1419719245489492
2012-08-21,99319.17396783909,-0.005097629118632874,1.0472401364055524,-0.25411236783590374,1.3324553680942224
2012-08-22,99125.38642834981,-0.0019511593959896656,1.049514359020237,-0.2565511892522575,1.371936188187619
2012-08-23,99590.22660227628,0.004689416008102576,1.033106820225348,-0.25067330483616523,1.1359971860352536
2012-08-24,99853.732450805,0.002645900682413771,1.0314177698962659,-0.2473601777766311,0.9898153688367058
2012-08-27,100225.73669884187,0.003725491665723668,1.0227345330201638,-0.24271775684150787,0.7939239793918247
2012-08-28,99995.36571720302,-0.0022985212104856823,1.0270987709063262,-0.24556816760367348,0.8805235110078057
2012-08-29,100112.81558305856,0.001174553090667274,1.023858796246079,-0.2440942871495481,0.7977866124965043
2012-08-30,100868.8334462235,0.007551659183311132,1.0002497372717791,-0.23475724238132223,0.37708858116678573
2012-08-31,100391.51541320283,-0.0047320665532942785,0.0,0.0,0.5804850578375478
2012-09-04,100391.51541320283,0.0,0.0,0.0,-0.071784959822462
2012-09-05,100391.51541320283,0.0,0.0,0.0,-0.18269728089918308
2012-09-06,100391.51541320283,0.0,0.0,0.0,0.2233479413781087
2012-09-07,100391.51541320283,0.0,0.0,0.0,0.09866497177913015
2012-09-10,100391.51541320283,0.0,0.0,0.0,-0.28836063357183267
2012-09-11,100391.51541320283,0.0,0.0,0.0,0.158687840074321
2012-09-12,100391.51541320283,0.0,0.0,0.0,0.2661113396651787
2012-09-13,100391.51541320283,0.0,0.0,0.0,0.5236688466387942
2012-09-14,100391.51541320283,0.0,0.0,0.0,0.5129656882035561
2012-09-17,100391.51541320283,0.0,0.0,0.0,0.20286198939831965
2012-09-18,100391.51541320283,0.0,0.0,0.0,0.12939938987120791
2012-09-19,100391.51541320283,0.0,0.0,0.0,0.413615600088144
2012-09-20,100391.51541320283,0.0,0.0,0.0,0.20536347084009818
2012-09-21,100391.51541320283,0.0,0.0,0.0,0.2563609336055604
2012-09-24,100391.51541320283,0.0,0.0,0.0,0.18520706845147494
2012-09-25,100391.51541320283,0.0,0.0,0.0,-0.2882455456730162
2012-09-26,100391.51541320283,0.0,0.0,0.0,-0.3614965904817657
2012-09-27,100391.51541320283,0.0,0.0,0.0,0.1490860509125857
2012-09-28,100391.51541320283,0.0,0.0,0.0,-0.2531714826350097
2012-10-01,100391.51541320283,0.0,0.0,0.0,0.005061639231131669
2012-10-02,100391.51541320283,0.0,0.0,0.0,-0.1359951470443785
2012-10-03,100391.51541320283,0.0,0.0,0.0,-0.3809963868780664
2012-10-04,100391.51541320283,0.0,0.0,0.0,-0.41445527865237697
2012-10-05,100391.51541320283,0.0,0.0,0.0,-0.4559098236266458
2012-10-08,100391.51541320283,0.0,0.0,0.0,-0.404862695771591
2012-10-09,100391.51541320283,0.0,0.0,0.0,-0.26937028625316256
2012-10-10,100391.51541320283,0.0,0.0,0.0,0.2428013671646365
2012-10-11,100391.51541320283,0.0,0.0,0.0,0.4200616125408374
2012-10-12,100391.51541320283,0.0,0.0,0.0,0.41064029604324487
2012-10-15,100391.51541320283,0.0,0.0,0.0,1.0156545649677482
2012-10-16,100391.51541320283,0.0,0.0,0.0,1.0753987784857306
2012-10-17,100391.51541320283,0.0,0.0,0.0,1.792572975811005
2012-10-18,100391.51541320283,0.0,0.0,0.0,1.7367323699858603
2012-10-19,100391.51541320283,0.0,0.0,0.0,1.4263724824621868
2012-10-22,100391.51541320283,0.0,0.0,0.0,1.5536626993865923
2012-10-23,100391.51541320283,0.0,0.0,0.0,1.1226263714656437
2012-10-24,100391.51541320283,0.0,0.0,0.0,1.760513884194214
2012-10-25,100391.51541320283,0.0,0.0,0.0,1.7994215496086585
2012-10-26,100391.51541320283,0.0,0.0,0.0,1.608533465581013
2012-10-31,100391.51541320283,0.0,0.0,0.0,1.4160121383206408
2012-11-01,100391.51541320283,0.0,0.0,0.0,1.119841174073157
2012-11-02,100391.51541320283,0.0,0.0,0.0,0.4490078683483327
2012-11-05,100391.51541320283,0.0,0.0,0.0,1.0769416275810668
2012-11-06,100391.51541320283,0.0,0.0,0.0,1.8854466075344904
2012-11-07,100391.51541320283,0.0,0.0,0.0,1.7922007602154286
2012-11-08,100391.51541320283,0.0,0.0,0.0,1.8452364089202251
2012-11-09,100391.51541320283,0.0,0.0,0.0,1.9869924213125874
2012-11-12,100391.51541320283,0.0,0.0,0.0,1.9248272444478867
2012-11-13,100391.51541320283,0.0,0.0,0.0,1.3388957382976339
2012-11-14,100391.51541320283,0.0,0.0,0.0,1.0529780958505948
2012-11-15,100391.51541320283,0.0,0.0,0.0,1.1387635274813128
2012-11-16,100391.51541320283,0.0,0.0,0.0,0.9281122981184347
2012-11-19,100391.51541320283,0.0,0.0,0.0,1.2650479147481228
2012-11-20,100391.51541320283,0.0,0.0,0.0,0.9867251082960931
2012-11-21,100391.51541320283,0.0,0.0,0.0,0.7272375932768049
2012-11-23,100391.51541320283,0.0,0.0,0.0,1.3453831501024935
2012-11-26,100391.51541320283,0.0,0.0,0.0,1.248661736428568
2012-11-27,100391.51541320283,0.0,0.0,0.0,1.5820059035624885
2012-11-28,100391.51541320283,0.0,0.0,0.0,1.742517251722884
2012-11-29,100391.51541320283,0.0,0.0,0.0,1.8396450432174474
2012-11-30,100391.51541320283,0.0,0.0,0.0,2.041871208395272
2012-12-03,100341.31965549622,-0.000500000000000056,1.0005002501250624,-0.24639779970566836,2.0765727571894446
2012-12-04,100147.47435500054,-0.0019318591898254134,1.0030133733098658,-0.24879793144543066,2.130806320495362
2012-12-05,100206.01501094138,0.0005845445061682941,1.0045227943103445,-0.24805596842275462,1.985072812609763
2012-12-06,99969.86537604673,-0.002356641314085417,1.010054932310685,-0.2509916807245129,2.1025267970424615
2012-12-07,99444.8849666026,-0.00525138658003943,1.021196398612542,-0.2575832260178398,2.3879460993956343
2012-12-10,99644.089776911,0.0020031679897392074,1.024181745626394,-0.2550564508044728,2.1087564906398177
2012-12-11,99417.63096969665,-0.0022726767610738996,1.032307082550813,-0.25790256587851673,2.1530923649671374
2012-12-12,99512.85523741203,0.0009578207284421936,1.0363135142620523,-0.2566860861971193,1.9741344760047932
2012-12-13,99648.16740828704,0.0013597456384122353,1.029745809881288,-0.2549668231559923,1.7952967607982782
2012-12-14,99409.92848958452,-0.0023908008034547734,1.0313408213315305,-0.2579616136275579,1.879316319226032
2012-12-17,99295.16605461763,-0.0011544363496742704,1.036936104153162,-0.25940272321135227,1.8665885421890849
2012-12-18,99260.68014608692,-0.0003473070231005959,1.0414036573121452,-0.25982740961436634,1.8067796978280763
2012-12-19,99509.28806518282,0.0025045961676870565,1.0376641612457764,-0.2566670570807809,1.5756581774916043
2012-12-20,99265.09728922654,-0.002453949583041126,1.0440406530890058,-0.25974556860611636,1.6681739157061546
2012-12-21,99563.87339591356,0.0030098807621825596,1.0335011424507554,-0.25595236735029125,1.4272882024032747
2012-12-24,99739.95026840687,0.0017684815434324541,1.0282541531123224,-0.253722390245037,1.2741435523699756
2012-12-26,99774.08053497174,0.00034219253642109315,1.026177631151743,-0.25328080888493326,1.2108585690979383
2012-12-27,99318.21367101469,-0.004568990879322277,1.0351898978759642,-0.25902056934306117,1.474244983989985
2012-12-28,99276.99883194514,-0.0004149776515923742,1.0305146243767458,-0.2595304069238801,1.4558948916949535
2012-12-31,98655.36477785523,-0.006261612069299205,1.0543798832154776,-0.2674539135806505,1.8039478194373781
2013-01-02,98402.33755950046,-0.0025647588341952687,1.0729833861202442,-0.27069983878726694,1.8989985873685613
2013-01-03,98304.48253734868,-0.0009944379836770434,0.0,0.0,1.8711325452802041
2013-01-04,98304.48253734868,0.0,0.0,0.0,
2013-01-07,98304.48253734868,0.0,0.0,0.0,
2013-01-08,98304.48253734868,0.0,0.0,0.0,
2013-01-09,98304.48253734868,0.0,0.0,0.0,
2013-01-10,98304.48253734868,0.0,0.0,0.0,
2013-01-11,98304.48253734868,0.0,0.0,0.0,
2013-01-14,98304.48253734868,0.0,0.0,0.0,
2013-01-15,98304.48253734868,0.0,0.0,0.0,
2013-01-16,98304.48253734868,0.0,0.0,0.0,
2013-01-17,98304.48253734868,0.0,0.0,0.0,
2013-01-18,98304.48253734868,0.0,0.0,0.0,
2013-01-22,98304.48253734868,0.0,0.0,0.0,
2013-01-23,98304.48253734868,0.0,0.0,0.0,
2013-01-24,98304.48253734868,0.0,0.0,0.0,
2013-01-25,98304.48253734868,0.0,0.0,0.0,
2013-01-28,98304.48253734868,0.0,0.0,0.0,
2013-01-29,98304.48253734868,0.0,0.0,0.0,
2013-01-30,98304.48253734868,0.0,0.0,0.0,
2013-01-31,98304.48253734868,0.0,0.0,0.0,
2013-02-01,98304.48253734868,0.0,0.0,0.0,
2013-02-04,98304.48253734868,0.0,0.0,0.0,
2013-02-05,98304.48253734868,0.0,0.0,0.0,
2013-02-06,98304.48253734868,0.0,0.0,0.0,
2013-02-07,98304.48253734868,0.0,0.0,0.0,
2013-02-08,98304.48253734868,0.0,0.0,0.0,
2013-02-11,98304.48253734868,0.0,0.0,0.0,
2013-02-12,98304.48253734868,0.0,0.0,0.0,
2013-02-13,98304.48253734868,0.0,0.0,0.0,
2013-02-14,98304.48253734868,0.0,0.0,0.0,
2013-02-15,98304.48253734868,0.0,0.0,0.0,
2013-02-19,98304.48253734868,0.0,0.0,0.0,
2013-02-20,98304.48253734868,0.0,0.0,0.0,
2013-02-21,98304.48253734868,0.0,0.0,0.0,
2013-02-22,98304.48253734868,0.0,0.0,0.0,
2013-02-25,98304.48253734868,0.0,0.0,0.0,
2013-02-26,98304.48253734868,0.0,0.0,0.0,
2013-02-27,98304.48253734868,0.0,0.0,0.0,
2013-02-28,98304.48253734868,0.0,0.0,0.0,
2013-03-01,98304.48253734868,0.0,0.0,0.0,
2013-03-04,98304.48253734868,0.0,0.0,0.0,
2013-03-05,98304.48253734868,0.0,0.0,0.0,
2013-03-06,98304.48253734868,0.0,0.0,0.0,
2013-03-07,98304.48253734868,0.0,0.0,0.0,
2013-03-08,98304.48253734868,0.0,0.0,0.0,
2013-03-11,98304.48253734868,0.0,0.0,0.0,
2013-03-12,98304.48253734868,0.0,0.0,0.0,
2013-03-13,98304.48253734868,0.0,0.0,0.0,
2013-03-14,98304.48253734868,0.0,0.0,0.0,
2013-03-15,98304.48253734868,0.0,0.0,0.0,
2013-03-18,98304.48253734868,0.0,0.0,0.0,
2013-03-19,98304.48253734868,0.0,0.0,0.0,
2013-03-20,98304.48253734868,0.0,0.0,0.0,
2013-03-21,98304.48253734868,0.0,0.0,0.0,
2013-03-22,98304.48253734868,0.0,0.0,0.0,
2013-03-25,98304.48253734868,0.0,0.0,0.0,
2013-03-26,98304.48253734868,0.0,0.0,0.0,
2013-03-27,98304.48253734868,0.0,0.0,0.0,
2013-03-28,98304.48253734868,0.0,0.0,0.0,
2013-04-01,98304.48253734868,0.0,0.0,0.0,
2013-04-02,98304.48253734868,0.0,0.0,0.0,
2013-04-03,98304.48253734868,0.0,0.0,0.0,
2013-04-04,98304.48253734868,0.0,0.0,0.0,
2013-04-05,98304.48253734868,0.0,0.0,0.0,
2013-04-08,98304.48253734868,0.0,0.0,0.0,
2013-04-09,98304.48253734868,0.0,0.0,0.0,
2013-04-10,98304.48253734868,0.0,0.0,0.0,
2013-04-11,98304.48253734868,0.0,0.0,0.0,
2013-04-12,98304.48253734868,0.0,0.0,0.0,
2013-04-15,98304.48253734868,0.0,0.0,0.0,
2013-04-16,98304.48253734868,0.0,0.0,0.0,
2013-04-17,98304.48253734868,0.0,0.0,0.0,
2013-04-18,98304.48253734868,0.0,0.0,0.0,
2013-04-19,98304.48253734868,0.0,0.0,0.0,
2013-04-22,98304.48253734868,0.0,0.0,0.0,
2013-04-23,98304.48253734868,0.0,0.0,0.0,
2013-04-24,98304.48253734868,0.0,0.0,0.0,
2013-04-25,98304.48253734868,0.0,0.0,0.0,
2013-04-26,98304.48253734868,0.0,0.0,0.0,
2013-04-29,98304.48253734868,0.0,0.0,0.0,
2013-04-30,98304.48253734868,0.0,0.0,0.0,
2013-05-01,98304.48253734868,0.0,0.0,0.0,
2013-05-02,98304.48253734868,0.0,0.0,0.0,
2013-05-03,98304.48253734868,0.0,0.0,0.0,
2013-05-06,98304.48253734868,0.0,0.0,0.0,
2013-05-07,98304.48253734868,0.0,0.0,0.0,
2013-05-08,98304.48253734868,0.0,0.0,0.0,
2013-05-09,98304.48253734868,0.0,0.0,0.0,
2013-05-10,98304.48253734868,0.0,0.0,0.0,
2013-05-13,98304.48253734868,0.0,0.0,0.0,
2013-05-14,98304.48253734868,0.0,0.0,0.0,
