fold,formation_start,formation_end,trading_start,trading_end,trace_stat,trace_critical,cointegrated,half_life_days,traded,skip_reason,weight_EWA,weight_EWC,entry_z,exit_z,stop_z,lookback,n_trials,is_sharpe,is_trades,is_deflated_sharpe,oos_return,oos_sharpe,oos_trades
0,2010-01-04,2011-12-30,2012-01-03,2012-07-02,11.482188585901179,15.4943,False,17.785169027233906,False,not cointegrated (trace 11.48 <= critical 15.49),0.5399427902203157,-0.4600572097796844,,,,,0,,0,,0.0,,0
1,2010-07-06,2012-07-02,2012-07-03,2013-01-03,17.5872920735234,15.4943,True,11.516638882257144,True,,0.6231373004029078,-0.3768626995970922,2.0,0.5,4.0,60.0,1,1.0150384137952457,10,0.9297478110567925,-0.016955174626513192,-1.076520368580511,2
2,2011-01-03,2013-01-03,2013-01-04,2013-07-05,7.394604447255234,15.4943,False,23.95239504779144,False,not cointegrated (trace 7.39 <= critical 15.49),0.8185876242566122,0.18141237574338775,,,,,0,,0,,0.0,,0
3,2011-07-05,2013-07-05,2013-07-08,2014-01-03,15.233270877117457,15.4943,False,16.64205366292959,False,not cointegrated (trace 15.23 <= critical 15.49),0.1640152548113014,-0.8359847451886987,,,,,0,,0,,0.0,,0
4,2012-01-03,2014-01-03,2014-01-06,2014-07-07,8.80079629565064,15.4943,False,27.259195479129584,False,not cointegrated (trace 8.80 <= critical 15.49),0.2349199986884541,-0.7650800013115459,,,,,0,,0,,0.0,,0
5,2012-07-03,2014-07-07,2014-07-08,2015-01-05,5.946721243036931,15.4943,False,46.53777460701069,False,not cointegrated (trace 5.95 <= critical 15.49),0.6694300139568373,-0.3305699860431627,,,,,0,,0,,0.0,,0
6,2013-01-04,2015-01-05,2015-01-06,2015-07-07,9.11899707488594,15.4943,False,42.18679778318979,False,not cointegrated (trace 9.12 <= critical 15.49),0.679331396406299,-0.3206686035937011,,,,,0,,0,,0.0,,0
7,2013-07-08,2015-07-07,2015-07-08,2016-01-05,21.40991785545689,15.4943,True,21.355911032689782,True,,0.5149952824425096,-0.4850047175574904,2.0,0.5,4.0,60.0,1,-0.04120191082557121,7,0.4768146245235622,0.007809341122547275,0.3145169501242174,4
8,2014-01-06,2016-01-05,2016-01-06,2016-07-06,12.437700788671645,15.4943,False,17.555501160568856,False,not cointegrated (trace 12.44 <= critical 15.49),0.5536429905415851,-0.4463570094584149,,,,,0,,0,,0.0,,0
9,2014-07-08,2016-07-06,2016-07-07,2017-01-04,18.41622419124991,15.4943,True,10.838099638919376,True,,0.545589154714291,-0.454410845285709,2.0,0.5,4.0,60.0,1,1.5397516787607635,11,0.9878748837525089,0.014510517487528185,1.3756547651126914,2
10,2015-01-06,2017-01-04,2017-01-05,2017-07-06,18.732699066728333,15.4943,True,10.087026262741189,True,,0.5443245456215349,-0.455675454378465,2.0,0.5,4.0,60.0,1,1.4413363528307637,11,0.9834417180896448,-0.007494896282309482,-0.3075624560371152,2
11,2015-07-08,2017-07-06,2017-07-07,2018-01-04,11.62839991127687,15.4943,False,16.968719652407945,False,not cointegrated (trace 11.63 <= critical 15.49),0.4813140495749435,-0.5186859504250565,,,,,0,,0,,0.0,,0
12,2016-01-06,2018-01-04,2018-01-05,2018-07-06,14.752443343822804,15.4943,False,16.700135121419226,False,not cointegrated (trace 14.75 <= critical 15.49),0.4858932495161048,-0.5141067504838952,,,,,0,,0,,0.0,,0
13,2016-07-07,2018-07-06,2018-07-09,2019-01-07,13.57849931640704,15.4943,False,17.992270880060136,False,not cointegrated (trace 13.58 <= critical 15.49),0.48071643417102156,-0.5192835658289785,,,,,0,,0,,0.0,,0
14,2017-01-05,2019-01-07,2019-01-08,2019-07-09,19.031078974688402,15.4943,True,11.374647617709895,True,,0.5840650460370741,-0.4159349539629259,2.0,0.5,4.0,60.0,1,0.52388254957676,8,0.7748472126575365,-0.004639691920880762,-0.3076705737061649,3
15,2017-07-07,2019-07-09,2019-07-10,2020-01-07,16.21609160325129,15.4943,True,13.143915250617857,True,,0.5364535993740854,-0.4635464006259145,2.0,0.5,4.0,60.0,1,0.667890832725676,8,0.830289060446679,0.015856053986516017,1.7587244159004898,2
16,2018-01-05,2020-01-07,2020-01-08,2020-07-08,16.596017478622628,15.4943,True,11.596839063096438,True,,0.4955430281353064,-0.5044569718646935,2.0,0.5,4.0,60.0,1,0.1655208433026339,7,0.5921762687092917,-0.0011573173772631007,0.024935191614794603,6
17,2018-07-09,2020-07-08,2020-07-09,2021-01-06,18.36110894426303,15.4943,True,7.802882831673047,True,,0.44188286183916453,-0.5581171381608354,2.0,0.5,4.0,60.0,1,0.9429832316819636,9,0.9268206180996472,0.0014866523826086997,0.0966450944911392,2
18,2019-01-08,2021-01-06,2021-01-07,2021-07-08,22.044628090635292,15.4943,True,7.92214116276636,True,,0.4344682845680696,-0.5655317154319304,2.0,0.5,4.0,60.0,1,0.4675232770954706,9,0.7402993223004287,-0.02272113152433186,-1.1037202519036644,2
19,2019-07-10,2021-07-08,2021-07-09,2022-01-05,5.880585457625517,15.4943,False,12.775340968957641,False,not cointegrated (trace 5.88 <= critical 15.49),0.4979696772329999,-0.5020303227670001,,,,,0,,0,,0.0,,0
20,2020-01-08,2022-01-05,2022-01-06,2022-07-08,3.7067323513820973,15.4943,False,17.021760515204615,False,not cointegrated (trace 3.71 <= critical 15.49),0.5322443591381769,-0.467755640861823,,,,,0,,0,,0.0,,0
