direction,signal_date,entry_date,exit_date,exit_reason,holding_bars,entry_equity,entry_gross_notional,gross_pnl,borrow_cost,trading_cost,net_pnl,return_on_equity,is_open,fold
-1,2012-07-17,2012-07-18,2013-01-03,end_of_window,115,100000.0,100000.0,-6751.18586948979,154.13581223281727,107.72695020529576,-7013.048631927903,-0.07013048631927904,False,1
1,2015-09-04,2015-09-08,2015-09-10,exit,2,92986.95136807211,92986.95136807211,241.94964216752734,1.7817419569725605,92.9182027736565,147.2496974368983,0.0015835522648122622,False,7
-1,2015-12-18,2015-12-21,2016-01-05,end_of_window,9,93134.20106550901,93134.20106550901,-981.5656567671641,8.805986213299104,93.11673838370288,-1083.4883813641661,-0.01163362512340723,False,7
-1,2016-07-12,2016-07-13,2016-08-15,exit,23,92050.71268414486,92050.71268414486,-704.9559408454027,23.335711790381836,93.58403845063827,-821.8756910864229,-0.008928509808571919,False,9
1,2016-12-16,2016-12-19,2016-12-23,exit,4,91228.83699305846,91228.83699305847,308.02877686235877,3.299278812977451,91.21120870648316,213.51828934289819,0.0023404692680576936,False,9
-1,2017-01-09,2017-01-10,2017-01-25,exit,10,91442.35528240138,91442.35528240138,659.9133878457907,9.934993551696623,92.35900567328439,557.6193886208097,0.006098042716624195,False,10
-1,2017-02-15,2017-02-16,2017-04-10,exit,36,91999.97467102218,91999.97467102218,-1361.5259782414555,35.731973034266396,91.56643546202288,-1488.8243867377448,-0.016182878224277265,False,10
-1,2017-04-28,2017-05-01,2017-05-08,exit,5,90511.15028428443,90511.15028428443,1721.3349348899583,4.810061527322895,89.80778212392411,1626.7170912387112,0.017972560133523795,False,10
1,2017-05-26,2017-05-30,2017-06-15,exit,12,92137.86737552314,92137.86737552314,1115.1848695425447,10.035710943622478,92.74337055974767,1012.4057880391746,0.010987944662458346,False,10
-1,2019-04-03,2019-04-04,2019-04-05,exit,1,93150.27316356233,93150.27316356233,389.65980549151175,1.0794805274532155,93.09358040957349,295.4867445544851,0.003172151132993895,False,14
-1,2019-05-20,2019-05-21,2019-07-09,end_of_window,33,93445.75990811682,93445.75990811682,-725.9934536883594,36.31269035533175,95.05145418827033,-857.3575982319614,-0.009174922426389197,False,14
-1,2019-07-18,2019-07-19,2019-08-06,exit,12,92588.4023098849,92588.40230988488,1525.1955298357555,11.70258390454369,90.05426493854439,1423.4386809926675,0.015373833498374328,False,15
1,2020-01-08,2020-01-09,2020-01-15,exit,4,94011.84099087756,94011.84099087758,621.8969485445502,3.772656664089772,94.82815184208025,523.2961400383801,0.005566279040202586,False,16
1,2020-01-27,2020-01-28,2020-02-25,stop,19,94535.13713091594,94535.13713091594,-1493.6481838732384,17.995785543273342,92.2596215218146,-1603.9035909383263,-0.016966216367964623,False,16
1,2020-03-16,2020-03-17,2020-03-18,exit,1,92931.23353997762,92931.23353997763,-3192.7639529243443,0.9301549337942017,89.08194388640797,-3282.7760517445463,-0.0353247872291757,False,16
1,2020-03-18,2020-03-19,2020-06-02,exit,51,89648.45748823306,89648.45748823306,-12.32951223400994,55.51680043181573,106.53281571882007,-174.37912838464575,-0.0019451436563482883,False,16
-1,2020-06-08,2020-06-09,2020-07-08,end_of_window,20,89474.0783598484,89474.07835984841,-73.70907633509043,17.003009219455052,88.55105212811442,-179.2631376826599,-0.0020035203599605275,False,16
-1,2021-01-22,2021-01-25,2021-02-05,exit,9,89294.81522216574,89294.81522216572,757.3956569816503,6.786991606800861,89.40949316852652,661.1991722063229,0.007404675966474175,False,18
1,2021-02-09,2021-02-10,2021-03-12,stop,21,89956.01439437203,89956.01439437202,-2325.9604804849696,21.393963726117953,91.46402767406757,-2438.818471885155,-0.027111233065454,False,18
1,2021-04-27,2021-04-28,2021-07-08,end_of_window,49,87517.19592248686,87517.19592248685,-1805.607075411148,49.875013406070224,87.81814486148593,-1943.300233678704,-0.022204781736835655,False,18
