fold,formation_start,formation_end,trading_start,trading_end,trace_stat,trace_critical,cointegrated,half_life_days,traded,skip_reason,weight_XOM,weight_CVX,entry_z,exit_z,stop_z,lookback,n_trials,is_sharpe,is_trades,is_deflated_sharpe,oos_return,oos_sharpe,oos_trades
0,2010-01-04,2011-12-30,2012-01-03,2012-07-02,4.460726954181316,15.4943,False,50.70999412274398,False,not cointegrated (trace 4.46 <= critical 15.49),0.5381003168508359,-0.4618996831491641,,,,,0,,0,,0.0,,0
1,2010-07-06,2012-07-02,2012-07-03,2013-01-03,13.958946820269299,15.4943,False,24.204237619264983,False,not cointegrated (trace 13.96 <= critical 15.49),0.45505666676317047,-0.5449433332368295,,,,,0,,0,,0.0,,0
2,2011-01-03,2013-01-03,2013-01-04,2013-07-05,12.51943854426982,15.4943,False,21.707877890541965,False,not cointegrated (trace 12.52 <= critical 15.49),0.3824639383377485,-0.6175360616622515,,,,,0,,0,,0.0,,0
3,2011-07-05,2013-07-05,2013-07-08,2014-01-03,6.16339172778483,15.4943,False,38.53475923670688,False,not cointegrated (trace 6.16 <= critical 15.49),0.5502491234318487,-0.4497508765681512,,,,,0,,0,,0.0,,0
4,2012-01-03,2014-01-03,2014-01-06,2014-07-07,4.54486395987842,15.4943,False,40.525700718263515,False,not cointegrated (trace 4.54 <= critical 15.49),0.6131907136414554,-0.38680928635854456,,,,,0,,0,,0.0,,0
5,2012-07-03,2014-07-07,2014-07-08,2015-01-05,4.512179459348581,15.4943,False,62.2467992337225,False,not cointegrated (trace 4.51 <= critical 15.49),0.4221687926917294,-0.5778312073082705,,,,,0,,0,,0.0,,0
6,2013-01-04,2015-01-05,2015-01-06,2015-07-07,9.809236694979834,15.4943,False,28.53466215501214,False,not cointegrated (trace 9.81 <= critical 15.49),0.1701599737527162,-0.8298400262472838,,,,,0,,0,,0.0,,0
7,2013-07-08,2015-07-07,2015-07-08,2016-01-05,5.052848195770741,15.4943,False,50.15808632993213,False,not cointegrated (trace 5.05 <= critical 15.49),0.7728447503134316,-0.22715524968656842,,,,,0,,0,,0.0,,0
8,2014-01-06,2016-01-05,2016-01-06,2016-07-06,13.174961275875233,15.4943,False,12.014084874748509,False,not cointegrated (trace 13.17 <= critical 15.49),0.6171582877199554,-0.38284171228004454,,,,,0,,0,,0.0,,0
9,2014-07-08,2016-07-06,2016-07-07,2017-01-04,11.113953623585576,15.4943,False,19.327756844986688,False,not cointegrated (trace 11.11 <= critical 15.49),0.6273797919029795,-0.37262020809702057,,,,,0,,0,,0.0,,0
