fold,formation_start,formation_end,trading_start,trading_end,trace_stat,trace_critical,cointegrated,half_life_days,net_exposure,sizing_volatility,target_gross,traded,skip_reason,weight_XOM,weight_CVX,entry_z,exit_z,stop_z,lookback,n_trials,is_sharpe,is_trades,is_deflated_sharpe,oos_return,oos_sharpe,oos_trades
0,2010-01-04,2011-12-30,2012-01-03,2012-07-02,4.460726954181316,15.4943,False,50.70999412274398,0.07620063370167185,0.058414135963381075,1.0,False,not cointegrated (trace 4.46 <= critical 15.49),0.5381003168508359,-0.4618996831491641,,,,,0,,0,,0.0,,0
1,2010-07-06,2012-07-02,2012-07-03,2013-01-03,13.958946820269299,15.4943,False,24.204237619264983,0.08988666647365906,0.06670052775501122,1.0,False,not cointegrated (trace 13.96 <= critical 15.49),0.45505666676317047,-0.5449433332368295,,,,,0,,0,,0.0,,0
2,2011-01-03,2013-01-03,2013-01-04,2013-07-05,12.51943854426982,15.4943,False,21.707877890541965,0.235072123324503,0.08417621563401666,1.0,False,not cointegrated (trace 12.52 <= critical 15.49),0.3824639383377485,-0.6175360616622515,,,,,0,,0,,0.0,,0
3,2011-07-05,2013-07-05,2013-07-08,2014-01-03,6.16339172778483,15.4943,False,38.53475923670688,0.10049824686369752,0.054071127260037155,1.0,False,not cointegrated (trace 6.16 <= critical 15.49),0.5502491234318487,-0.4497508765681512,,,,,0,,0,,0.0,,0
4,2012-01-03,2014-01-03,2014-01-06,2014-07-07,4.54486395987842,15.4943,False,40.525700718263515,0.22638142728291083,0.055954181945024765,1.0,False,not cointegrated (trace 4.54 <= critical 15.49),0.6131907136414554,-0.38680928635854456,,,,,0,,0,,0.0,,0
5,2012-07-03,2014-07-07,2014-07-08,2015-01-05,4.512179459348581,15.4943,False,62.2467992337225,0.15566241461654112,0.05665997330359812,1.0,False,not cointegrated (trace 4.51 <= critical 15.49),0.4221687926917294,-0.5778312073082705,,,,,0,,0,,0.0,,0
6,2013-01-04,2015-01-05,2015-01-06,2015-07-07,9.809236694979834,15.4943,False,28.53466215501214,0.6596800524945676,0.11476903768637112,1.0,False,not cointegrated (trace 9.81 <= critical 15.49),0.1701599737527162,-0.8298400262472838,,,,,0,,0,,0.0,,0
7,2013-07-08,2015-07-07,2015-07-08,2016-01-05,5.052848195770741,15.4943,False,50.15808632993213,0.5456895006268632,0.09402723900875681,1.0,False,not cointegrated (trace 5.05 <= critical 15.49),0.7728447503134316,-0.22715524968656842,,,,,0,,0,,0.0,,0
8,2014-01-06,2016-01-05,2016-01-06,2016-07-06,13.174961275875233,15.4943,False,12.014084874748509,0.23431657543991086,0.06625004908760261,1.0,False,not cointegrated (trace 13.17 <= critical 15.49),0.6171582877199554,-0.38284171228004454,,,,,0,,0,,0.0,,0
9,2014-07-08,2016-07-06,2016-07-07,2017-01-04,11.113953623585576,15.4943,False,19.327756844986688,0.254759583805959,0.07287014583746673,1.0,False,not cointegrated (trace 11.11 <= critical 15.49),0.6273797919029795,-0.37262020809702057,,,,,0,,0,,0.0,,0
10,2015-01-06,2017-01-04,2017-01-05,2017-07-06,9.48875160324724,15.4943,False,20.440527875472892,0.33483001631256176,0.08533920813124588,1.0,False,not cointegrated (trace 9.49 <= critical 15.49),0.6674150081562809,-0.3325849918437191,,,,,0,,0,,0.0,,0
11,2015-07-08,2017-07-06,2017-07-07,2018-01-04,7.918567479394179,15.4943,False,29.61189229397689,0.5227342744532397,0.11252795507913062,1.0,False,not cointegrated (trace 7.92 <= critical 15.49),0.7613671372266199,-0.2386328627733801,,,,,0,,0,,0.0,,0
12,2016-01-06,2018-01-04,2018-01-05,2018-07-06,9.086966822411302,15.4943,False,25.7992286370349,0.9909796875750578,0.15581714367766325,1.0,False,not cointegrated (trace 9.09 <= critical 15.49),0.9954898437875289,-0.004510156212471037,,,,,0,,0,,0.0,,0
13,2016-07-07,2018-07-06,2018-07-09,2019-01-07,14.885338907334502,15.4943,False,19.766022900464105,0.9987000340510204,0.16064802963505345,1.0,False,not cointegrated (trace 14.89 <= critical 15.49),0.9993500170255101,-0.0006499829744898534,,,,,0,,0,,0.0,,0
14,2017-01-05,2019-01-07,2019-01-08,2019-07-09,12.254023616016962,15.4943,False,21.366831516459012,0.8754037395397682,0.15669799609563054,1.0,False,not cointegrated (trace 12.25 <= critical 15.49),0.9377018697698841,-0.062298130230115926,,,,,0,,0,,0.0,,0
15,2017-07-07,2019-07-09,2019-07-10,2020-01-07,19.88799238035954,15.4943,True,24.052043922181095,1.0,0.18473467514347086,1.0,True,,0.3634667880562814,0.6365332119437186,2.423772781572617,0.0,5.003820977709187,72.0,40,1.8280256758875493,5,0.8623146650521687,0.04835793758066642,1.6019842529295416,1
16,2018-01-05,2020-01-07,2020-01-08,2020-07-08,16.680488929703568,15.4943,True,14.80648331037408,1.0,0.19941719978242362,1.0,True,,0.31970507268029663,0.6802949273197033,1.0472043856159192,0.27771151362477864,3.5339739654146207,158.0,40,1.6722902935886628,10,0.7962446051285038,-0.07177396262534552,-2.220476939387775,1
17,2018-07-09,2020-07-08,2020-07-09,2021-01-06,10.894874915393025,15.4943,False,10.73600393512262,0.2888437026844015,0.18584167333717183,1.0,False,not cointegrated (trace 10.89 <= critical 15.49),0.35557814865779924,-0.6444218513422008,,,,,0,,0,,0.0,,0
18,2019-01-08,2021-01-06,2021-01-07,2021-07-08,15.481358243824436,15.4943,False,8.160307835450277,0.25450682017131104,0.1784673156955146,1.0,False,not cointegrated (trace 15.48 <= critical 15.49),0.37274658991434445,-0.6272534100856555,,,,,0,,0,,0.0,,0
19,2019-07-10,2021-07-08,2021-07-09,2022-01-05,19.60946875928924,15.4943,True,6.622111165028018,0.213239668099431,0.16541358364699266,1.0,True,,0.3933801659502845,-0.6066198340497155,1.6606290639741208,0.8477538109462043,3.489784785276079,42.0,40,2.173905871004257,21,0.7491915360739723,-0.06040927425952125,-2.6607387095376023,1
20,2020-01-08,2022-01-05,2022-01-06,2022-07-08,13.305783218600574,15.4943,False,9.471592522015678,0.18556027977367034,0.15598272474768352,1.0,False,not cointegrated (trace 13.31 <= critical 15.49),0.40721986011316486,-0.5927801398868352,,,,,0,,0,,0.0,,0
21,2020-07-09,2022-07-08,2022-07-11,2023-01-06,3.458124094445902,15.4943,False,72.07333007902712,0.123854624487996,0.07841905277372646,1.0,False,not cointegrated (trace 3.46 <= critical 15.49),0.43807268775600205,-0.5619273122439981,,,,,0,,0,,0.0,,0
22,2021-01-07,2023-01-06,2023-01-09,2023-07-11,6.0802895184645935,15.4943,False,44.637710288214485,0.03195996471783341,0.07227560503542985,1.0,False,not cointegrated (trace 6.08 <= critical 15.49),0.4840200176410833,-0.5159799823589167,,,,,0,,0,,0.0,,0
23,2021-07-09,2023-07-11,2023-07-12,2024-01-09,6.383706230191383,15.4943,False,75.92625132963845,0.3250839984926215,0.10706236401496728,1.0,False,not cointegrated (trace 6.38 <= critical 15.49),0.33745800075368926,-0.6625419992463107,,,,,0,,0,,0.0,,0
24,2022-01-06,2024-01-09,2024-01-10,2024-07-11,15.37370460150068,15.4943,False,22.039248286939873,1.0,0.28338733427744506,1.0,False,not cointegrated (trace 15.37 <= critical 15.49),0.10554902367329659,0.8944509763267035,,,,,0,,0,,0.0,,0
25,2022-07-11,2024-07-11,2024-07-12,2024-12-31,17.679140166318657,15.4943,True,17.628753477559574,1.0,0.24065081688726836,1.0,True,,0.16606765637330348,0.8339323436266964,1.3898222768313084,1.1118578214650467,1.8898222768313084,170.0,40,2.1594347600437866,12,0.94626449007077,0.022742899631052582,0.9404459913249684,4
