fold,formation_start,formation_end,trading_start,trading_end,trace_stat,trace_critical,cointegrated,half_life_days,traded,skip_reason,weight_JPM,weight_BAC,weight_C,weight_WFC,entry_z,exit_z,stop_z,lookback,n_trials,is_sharpe,is_trades,is_deflated_sharpe,oos_return,oos_sharpe,oos_trades
0,2010-01-04,2011-12-30,2012-01-03,2012-07-02,26.991913365861603,47.8545,False,25.50243048458034,False,not cointegrated (trace 26.99 <= critical 47.85),0.4541521699158384,0.03814710772001029,-0.24293384975678434,-0.2647668726073671,,,,,0,,0,,0.0,,0
1,2010-07-06,2012-07-02,2012-07-03,2013-01-03,33.85432938376413,47.8545,False,22.97981845900158,False,not cointegrated (trace 33.85 <= critical 47.85),0.2335841756496587,0.15554439322909883,-0.31850901734044496,-0.2923624137807976,,,,,0,,0,,0.0,,0
2,2011-01-03,2013-01-03,2013-01-04,2013-07-05,44.475050548393,47.8545,False,12.996387063074064,False,not cointegrated (trace 44.48 <= critical 47.85),0.24946108955403729,0.16861200209139615,-0.3538514499514411,-0.22807545840312535,,,,,0,,0,,0.0,,0
3,2011-07-05,2013-07-05,2013-07-08,2014-01-03,42.49809720142403,47.8545,False,11.386441462938592,False,not cointegrated (trace 42.50 <= critical 47.85),0.5059770474489672,-0.001469558022309269,-0.3199296474887268,-0.1726237470399967,,,,,0,,0,,0.0,,0
4,2012-01-03,2014-01-03,2014-01-06,2014-07-07,46.08071470356037,47.8545,False,9.804213679873714,False,not cointegrated (trace 46.08 <= critical 47.85),0.24282859685308045,0.229054403762539,-0.33364255609270516,-0.19447444329167532,,,,,0,,0,,0.0,,0
5,2012-07-03,2014-07-07,2014-07-08,2015-01-05,40.74072297743298,47.8545,False,10.901070676171157,False,not cointegrated (trace 40.74 <= critical 47.85),0.5427346111554557,-0.16221749360977852,-0.1546087648208765,-0.14043913041388914,,,,,0,,0,,0.0,,0
6,2013-01-04,2015-01-05,2015-01-06,2015-07-07,43.55466900049837,47.8545,False,10.47783260454369,False,not cointegrated (trace 43.55 <= critical 47.85),0.6096204105388541,-0.22378970784540836,-0.005358630548721975,-0.16123125106701552,,,,,0,,0,,0.0,,0
7,2013-07-08,2015-07-07,2015-07-08,2016-01-05,38.05623773960038,47.8545,False,11.19508022976564,False,not cointegrated (trace 38.06 <= critical 47.85),0.37007086060493566,-0.19660443494924323,-0.3371515565759069,-0.0961731478699141,,,,,0,,0,,0.0,,0
8,2014-01-06,2016-01-05,2016-01-06,2016-07-06,52.86550070718486,47.8545,True,14.768298972620897,True,,0.04616362848942513,-0.19891962189717477,0.4426411400328954,-0.3122756095805047,2.0,0.5,4.0,60.0,1,0.5721053033640825,8,0.7987547574388637,-0.00646969426488142,-0.2668006885507092,3
9,2014-07-08,2016-07-06,2016-07-07,2017-01-04,38.523671734685536,47.8545,False,16.44823639274447,False,not cointegrated (trace 38.52 <= critical 47.85),0.12698283633426516,-0.23356221801981097,0.3338095146603758,-0.3056454309855481,,,,,0,,0,,0.0,,0
10,2015-01-06,2017-01-04,2017-01-05,2017-07-06,36.21403525647717,47.8545,False,18.03052489627845,False,not cointegrated (trace 36.21 <= critical 47.85),0.31775029883458566,-0.38788330455301634,0.23350222271023927,0.06086417390215878,,,,,0,,0,,0.0,,0
11,2015-07-08,2017-07-06,2017-07-07,2018-01-04,35.325567112359956,47.8545,False,11.087155333928035,False,not cointegrated (trace 35.33 <= critical 47.85),0.29943978077518085,-0.36824148037904153,0.18078931484807162,0.15152942399770622,,,,,0,,0,,0.0,,0
12,2016-01-06,2018-01-04,2018-01-05,2018-07-06,40.79698110202456,47.8545,False,12.880246067353989,False,not cointegrated (trace 40.80 <= critical 47.85),0.4876981046277911,-0.16041328930510054,-0.21120454667336466,-0.1406840593937437,,,,,0,,0,,0.0,,0
13,2016-07-07,2018-07-06,2018-07-09,2019-01-07,45.14744698125087,47.8545,False,17.550676379073185,False,not cointegrated (trace 45.15 <= critical 47.85),0.375934915390797,-0.4061598771079202,0.04147660677615271,0.1764286007251302,,,,,0,,0,,0.0,,0
14,2017-01-05,2019-01-07,2019-01-08,2019-07-09,27.179272285860815,47.8545,False,16.687347373517092,False,not cointegrated (trace 27.18 <= critical 47.85),0.3614096914065378,-0.4037187073739913,0.040363704273678434,0.19450789694579246,,,,,0,,0,,0.0,,0
