n_bars,oos_start,oos_end,n_folds,n_traded,n_not_cointegrated,n_not_hedged,n_half_life,n_trades,win_rate,n_zscore_stops,n_loss_stops,n_time_stops,total_return,sharpe,psr,p_value,max_drawdown,time_in_market,median_net_exposure,median_spread_volatility,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,sharpe_frictionless,total_return_frictionless,mean_gross_pnl_bps,mean_cost_bps,pair,family,discovery
3774,2012-01-03,2024-12-31,26,4,22,0,0,10,0.4,0,0,4,-0.021036744697879084,-0.30676791220167043,0.13540757320052227,0.8645924267994778,-0.027674089970657567,0.07217125382262997,0.12442015542472099,0.02075376076849581,-0.16166462388134428,-0.30676791220167043,-0.4446465522532856,-0.6821666579154092,-0.1266785133798689,-0.008803406802861846,-8.959650448583519,12.400422568192347,DIA/IVV,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,1,25,0,0,2,0.0,0,0,1,-0.014924724359782315,-0.21488807171758442,0.21558720428906136,0.7844127957109386,-0.02666357355945448,0.018960244648318043,0.2602942584730036,0.05017945753736662,-0.18446830687051372,-0.21488807171758442,-0.24509276899004712,-0.3038307238149012,-0.17620478669450385,-0.01236870662970968,-62.23443483640498,12.868423760927124,DIA/IWM,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,1,25,0,0,2,0.5,0,0,1,-0.016993803725209866,-0.13593788438040796,0.31157312335818277,0.6884268766418172,-0.034097081890738345,0.01743119266055046,0.2280109025447576,0.08887809210056925,-0.12006712306996005,-0.13593788438040796,-0.1515878115770121,-0.18208758078589155,-0.1148683512636512,-0.014414212847613128,-72.03735111869103,12.994608131333573,DIA/QQQ,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,8,0.5,0,0,4,-0.019722040071964098,-0.3081174964855406,0.13412604677731965,0.8658739532226803,-0.021882453210345987,0.06391437308868501,0.11946462385716873,0.018518981237947076,-0.18373405549420102,-0.3081174964855406,-0.4264302823763479,-0.6314799746415916,-0.15130462907360798,-0.009775863092737369,-12.357590655030254,12.592864027400784,DIA/SPY,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.30536616740875877,,,,,,,0.0,,,IVV/IWM,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,2,24,0,0,4,0.25,0,0,3,-0.03450879002764995,-0.32108106769882866,0.12681891040222731,0.8731810895977727,-0.040501601289494316,0.03363914373088685,0.1751664727673647,0.041938060153396156,-0.2848846618274117,-0.32108106769882866,-0.35657205480946885,-0.4245996056275428,-0.27500997172389574,-0.029690336530553307,-75.29701865398796,12.333062549368357,IVV/QQQ,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,16,4,0,6,71,0.028169014084507043,2,0,0,-0.06678242313364358,-2.4323331518958837,1.0020838323009303e-13,0.9999999999998997,-0.06678242313364358,0.046788990825688076,0.0019440000753094822,0.003036293442715483,0.1170931555371523,-2.4323331518958837,-2.984530504423161,-3.227057206622971,0.20602202442268616,0.0035143920139113494,0.512157038069696,10.224477288375635,IVV/SPY,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.44243794352724236,,,,,,,0.0,,,IWM/QQQ,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.3074162013567817,,,,,,,0.0,,,IWM/SPY,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,2,24,0,0,4,0.25,0,0,3,-0.03416426357404567,-0.32425727058711645,0.12577989267802192,0.8742201073219781,-0.039884954709717535,0.03363914373088685,0.17728585695617535,0.041429163254974984,-0.2873475461972775,-0.32425727058711645,-0.36042364364283347,-0.4296405691907804,-0.27727257899704505,-0.029344086659657043,-74.42771898901204,12.33438171418792,QQQ/SPY,broad_us_equity,False
3774,2012-01-03,2024-12-31,26,5,19,2,0,12,0.5833333333333334,0,0,2,-0.04806301621872966,-0.2014954477166556,0.23363066061399823,0.7663693393860018,-0.10037120107509578,0.08440366972477065,0.13333918542852727,0.08376006774106318,-0.15633980150006158,-0.2014954477166556,-0.24620444775001382,-0.3337223634525014,-0.14569065571764273,-0.03546609411883139,-34.195146028857565,12.095611026257712,GDX/GDXJ,precious_metals,False
